epoch,train_loss,learning_rate,train_acc,test_acc,training_time,testing_time
173,0.003,0.0023793236883495176,99.96,94.68,0:01:20.009081,0:00:06.450227
174,0.004,0.002214918084113875,99.90,94.71,0:01:20.023840,0:00:06.459165
175,0.004,0.0020561343579004786,99.91,94.57,0:01:20.189397,0:00:06.180814
176,0.002,0.0019030116872178384,99.95,94.94,0:01:20.170035,0:00:06.490870
177,0.003,0.0017555878527937174,99.95,95.02,0:01:20.067561,0:00:06.447609
178,0.002,0.0016138992292533167,99.96,95.05,0:01:20.171436,0:00:06.451358
179,0.002,0.0014779807761443645,99.97,95.07,0:01:20.454670,0:00:06.454790
180,0.002,0.0013478660293113683,99.99,95.23,0:01:20.089092,0:00:06.468727
181,0.002,0.0012235870926211624,99.98,95.21,0:01:20.080588,0:00:06.165014
182,0.002,0.0011051746300417477,99.98,95.26,0:01:20.103807,0:00:06.450680
183,0.001,0.0009926578580764268,99.99,95.18,0:01:19.997838,0:00:06.165773
184,0.001,0.0008860645385550515,99.99,95.28,0:01:20.011066,0:00:06.445609
185,0.001,0.0007854209717842264,99.98,95.28,0:01:20.111930,0:00:06.178365
186,0.001,0.0006907519900580866,99.98,95.26,0:01:20.116961,0:00:06.181847
187,0.001,0.0006020809515313173,100.00,95.35,0:01:20.119505,0:00:06.477117
188,0.001,0.0005194297344558538,99.99,95.24,0:01:20.144053,0:00:06.188842
189,0.001,0.00044281873178278225,100.00,95.31,0:01:20.103615,0:00:06.181988
190,0.001,0.0003722668461306535,100.00,95.36,0:01:20.140883,0:00:06.489928
191,0.001,0.0003077914851215587,99.99,95.39,0:01:20.079895,0:00:06.469414
192,0.001,0.00024940855708606175,99.99,95.17,0:01:20.158031,0:00:06.184484
193,0.001,0.00019713246713805603,99.99,95.39,0:01:19.997421,0:00:06.164324
194,0.001,0.00015097611362051023,100.00,95.36,0:01:19.968451,0:00:06.160320
195,0.001,0.00011095088492300018,99.99,95.36,0:01:20.031373,0:00:06.170072
196,0.001,7.706665667180096e-05,100.00,95.38,0:01:20.087418,0:00:06.187431
197,0.001,4.9331789293211064e-05,99.99,95.30,0:01:20.085208,0:00:06.183624
198,0.001,2.7753125950752432e-05,99.99,95.39,0:01:20.192312,0:00:06.167008
199,0.001,1.2335990856710008e-05,100.00,95.40,0:01:20.117573,0:00:06.453011
200,0.001,3.0841879584853094e-06,100.00,95.31,0:01:20.500616,0:00:06.163135
