epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time
150,0.598,0.576,0.0015204360170384284,80.77,82.63,0:00:59.600849,0:00:02.204699
151,0.595,0.565,0.0014644660940672626,80.95,83.20,0:00:59.569657,0:00:02.206596
152,0.592,0.572,0.0014093685111840565,81.11,82.90,0:00:59.631737,0:00:02.201235
153,0.588,0.550,0.0013551568628929432,81.07,83.53,0:00:59.860224,0:00:02.237170
154,0.584,0.565,0.001301844525106951,81.18,82.79,0:00:59.851873,0:00:02.221296
155,0.587,0.570,0.0012494446518477018,81.13,82.87,0:00:59.887452,0:00:02.225335
156,0.582,0.551,0.0011979701719998452,81.44,83.39,0:00:59.755352,0:00:02.226124
157,0.584,0.544,0.001147433786121054,81.43,83.67,0:00:59.876463,0:00:02.234293
158,0.583,0.551,0.001097847963308352,81.44,83.54,0:00:59.905623,0:00:02.229338
159,0.576,0.547,0.0010492249381215478,81.65,83.65,0:01:00.539705,0:00:02.209103
160,0.579,0.535,0.001001576707564547,81.61,84.14,0:00:59.704331,0:00:02.212391
161,0.572,0.549,0.0009549150281252633,81.82,83.87,0:00:59.641419,0:00:02.194732
162,0.571,0.550,0.0009092514128748835,81.81,83.18,0:00:59.558730,0:00:02.199017
163,0.574,0.542,0.0008645971286271914,81.76,84.11,0:00:59.594668,0:00:02.200164
164,0.569,0.550,0.0008209631931586497,81.83,83.42,0:00:59.637733,0:00:02.223404
165,0.567,0.548,0.0007783603724899257,81.88,83.72,0:01:00.030375,0:00:02.224682
166,0.564,0.536,0.0007367991782295402,82.14,84.04,0:00:59.947363,0:00:02.247743
167,0.559,0.526,0.0006962898649802812,82.06,83.84,0:00:59.920377,0:00:02.226379
168,0.562,0.532,0.0006568424278090434,82.24,84.09,0:00:59.907373,0:00:02.206714
169,0.566,0.531,0.0006184665997806821,82.01,84.54,0:00:59.977039,0:00:02.245718
170,0.565,0.539,0.0005811718495565327,82.18,84.23,0:01:00.170820,0:00:02.225581
171,0.558,0.527,0.0005449673790581611,81.94,84.59,0:01:00.023981,0:00:02.228752
172,0.556,0.538,0.0005098621211969223,82.39,84.09,0:01:00.111228,0:00:02.232752
173,0.559,0.528,0.0004758647376699032,82.37,84.42,0:00:59.952550,0:00:02.295729
174,0.558,0.529,0.00044298361682277464,82.40,84.30,0:00:59.715010,0:00:02.223753
175,0.557,0.527,0.0004112268715800954,82.39,84.04,0:00:59.974898,0:00:02.221773
176,0.550,0.527,0.0003806023374435674,82.55,84.19,0:00:59.951687,0:00:02.231671
177,0.553,0.528,0.00035111757055874323,82.71,84.34,0:00:59.988165,0:00:02.226145
178,0.548,0.519,0.0003227798458506631,82.70,84.99,0:00:59.836491,0:00:02.229969
179,0.550,0.529,0.0002955961552288727,82.63,84.51,0:00:59.937501,0:00:02.193373
180,0.547,0.522,0.00026957320586227347,82.61,84.52,0:00:59.772805,0:00:02.225977
181,0.543,0.523,0.0002447174185242323,82.95,84.80,0:00:59.792733,0:00:02.199946
182,0.549,0.519,0.00022103492600834934,82.64,84.62,0:00:59.588641,0:00:02.194822
183,0.544,0.519,0.0001985315716152852,82.88,84.72,0:00:59.604817,0:00:02.201190
184,0.546,0.521,0.00017721290771101014,82.61,84.65,0:00:59.635650,0:00:02.200352
185,0.541,0.517,0.00015708419435684514,83.10,84.86,0:00:59.980548,0:00:02.229686
186,0.541,0.517,0.0001381503980116172,82.92,84.70,0:00:59.940369,0:00:02.220029
187,0.540,0.517,0.00012041619030626336,82.87,84.83,0:00:59.874884,0:00:02.195862
188,0.540,0.516,0.00010388594689117068,82.96,84.73,0:01:00.399042,0:00:02.198033
189,0.542,0.518,8.856374635655638e-05,82.76,84.55,0:00:59.893408,0:00:02.224389
190,0.534,0.524,7.445336922613064e-05,83.00,84.57,0:00:59.867665,0:00:02.193111
191,0.536,0.518,6.155829702431169e-05,83.18,84.65,0:00:59.739037,0:00:02.217150
192,0.537,0.516,4.988171141721231e-05,83.12,84.88,0:00:59.881841,0:00:02.216289
193,0.537,0.516,3.9426493427611173e-05,83.03,84.72,0:00:59.700741,0:00:02.195265
194,0.536,0.522,3.0195222724102018e-05,83.11,84.80,0:00:59.778726,0:00:02.194304
195,0.537,0.520,2.2190176984600013e-05,83.03,84.81,0:00:59.866804,0:00:02.246862
196,0.534,0.515,1.5413331334360176e-05,83.00,84.82,0:01:00.073828,0:00:02.193607
197,0.534,0.516,9.866357858642203e-06,83.24,84.50,0:00:59.816837,0:00:02.226243
198,0.538,0.517,5.5506251901504804e-06,83.17,84.77,0:00:59.884023,0:00:02.210948
199,0.532,0.511,2.467198171341999e-06,83.31,84.98,0:01:00.039614,0:00:02.218282
200,0.537,0.517,6.168375916970613e-07,83.01,84.91,0:00:59.973836,0:00:02.190095
