epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time
175,0.123,0.243,0.0004112268715800954,98.98,95.35,0:02:09.177738,0:00:05.600499
176,0.123,0.254,0.0003806023374435674,99.01,95.12,0:02:09.120471,0:00:05.485885
177,0.122,0.250,0.00035111757055874323,99.02,95.40,0:02:09.000352,0:00:05.555314
178,0.122,0.244,0.0003227798458506631,99.05,95.35,0:02:08.882701,0:00:05.486380
179,0.121,0.244,0.0002955961552288727,99.05,95.23,0:02:08.761761,0:00:05.489025
180,0.120,0.247,0.00026957320586227347,99.11,95.26,0:02:08.934151,0:00:05.507677
181,0.120,0.245,0.0002447174185242323,99.00,95.27,0:02:09.333273,0:00:05.577391
182,0.121,0.240,0.00022103492600834934,98.98,95.33,0:02:09.098946,0:00:05.505357
183,0.119,0.242,0.0001985315716152852,99.10,95.38,0:02:08.974716,0:00:05.483420
184,0.119,0.245,0.00017721290771101014,99.12,95.28,0:02:08.885492,0:00:05.510479
185,0.118,0.245,0.00015708419435684514,99.20,95.36,0:02:09.023109,0:00:05.483863
186,0.119,0.237,0.0001381503980116172,99.05,95.38,0:02:08.760642,0:00:05.483242
187,0.119,0.245,0.00012041619030626336,99.06,95.25,0:02:08.864066,0:00:05.511460
188,0.119,0.247,0.00010388594689117068,99.13,95.31,0:02:09.113230,0:00:05.479277
189,0.118,0.241,8.856374635655638e-05,99.11,95.31,0:02:09.092235,0:00:05.504683
190,0.118,0.246,7.445336922613064e-05,99.10,95.27,0:02:09.102292,0:00:05.501517
191,0.118,0.242,6.155829702431169e-05,99.15,95.19,0:02:09.112282,0:00:05.484302
192,0.118,0.242,4.988171141721231e-05,99.13,95.22,0:02:08.870005,0:00:05.500556
193,0.118,0.244,3.9426493427611173e-05,99.08,95.20,0:02:09.001434,0:00:05.486374
194,0.118,0.244,3.0195222724102018e-05,99.10,95.31,0:02:08.750222,0:00:05.483517
195,0.118,0.244,2.2190176984600013e-05,99.17,95.28,0:02:09.093455,0:00:05.480177
196,0.118,0.248,1.5413331334360176e-05,99.20,95.32,0:02:08.955169,0:00:05.502988
197,0.118,0.240,9.866357858642203e-06,99.11,95.30,0:02:09.027764,0:00:05.500745
198,0.117,0.248,5.5506251901504804e-06,99.18,95.24,0:02:09.065771,0:00:05.506455
199,0.118,0.237,2.467198171341999e-06,99.09,95.27,0:02:09.031350,0:00:05.496398
200,0.118,0.245,6.168375916970613e-07,99.12,95.29,0:02:08.976229,0:00:05.508951
